rep,strategy,workload,team,namespace,prompt,model,provider,real,in_tokens,out_tokens,cost_eur,latency_ms,quality_1to5,reroute
1,B1-premium-static,W2-RAG-Docs,knowledge,rag,w2-10,gpt-4o,openai-us,true,52,30,0.000430,1096,5.00,false
1,B1-premium-static,W3-Dev-Assistant,platform,dev,w3-01,gpt-4o,openai-us,true,45,52,0.000632,892,5.00,false
1,B1-premium-static,W3-Dev-Assistant,platform,dev,w3-02,gpt-4o,openai-us,true,33,105,0.001133,1086,5.00,false
1,B1-premium-static,W3-Dev-Assistant,platform,dev,w3-03,gpt-4o,openai-us,true,48,189,0.002010,1632,5.00,false
1,B1-premium-static,W3-Dev-Assistant,platform,dev,w3-04,gpt-4o,openai-us,true,35,29,0.000378,649,5.00,false
1,B1-premium-static,W3-Dev-Assistant,platform,dev,w3-05,gpt-4o,openai-us,true,39,234,0.002437,1669,5.00,false
1,B1-premium-static,W3-Dev-Assistant,platform,dev,w3-06,gpt-4o,openai-us,true,31,72,0.000798,1394,5.00,false
1,B1-premium-static,W3-Dev-Assistant,platform,dev,w3-07,gpt-4o,openai-us,true,51,234,0.002468,1721,5.00,false
1,B1-premium-static,W3-Dev-Assistant,platform,dev,w3-08,gpt-4o,openai-us,true,40,130,0.001400,977,5.00,false
1,B1-premium-static,W3-Dev-Assistant,platform,dev,w3-09,gpt-4o,openai-us,true,32,23,0.000310,593,5.00,false
1,B1-premium-static,W3-Dev-Assistant,platform,dev,w3-10,gpt-4o,openai-us,true,39,53,0.000628,893,5.00,false
1,B1-premium-static,W4-Analytical-Agent,analytics,agent,w4-01,gpt-4o,openai-us,true,53,3,0.000162,589,1.00,false
1,B1-premium-static,W4-Analytical-Agent,analytics,agent,w4-02,gpt-4o,openai-us,true,48,4,0.000160,401,3.00,false
1,B1-premium-static,W4-Analytical-Agent,analytics,agent,w4-03,gpt-4o,openai-us,true,43,1,0.000118,400,5.00,false
1,B1-premium-static,W4-Analytical-Agent,analytics,agent,w4-04,gpt-4o,openai-us,true,45,99,0.001102,955,5.00,false
1,B1-premium-static,W4-Analytical-Agent,analytics,agent,w4-05,gpt-4o,openai-us,true,55,15,0.000287,468,5.00,false
1,B1-premium-static,W4-Analytical-Agent,analytics,agent,w4-06,gpt-4o,openai-us,true,79,256,0.002757,1521,5.00,false
1,B1-premium-static,W4-Analytical-Agent,analytics,agent,w4-07,gpt-4o,openai-us,true,47,6,0.000178,407,5.00,false
1,B1-premium-static,W4-Analytical-Agent,analytics,agent,w4-08,gpt-4o,openai-us,true,29,2,0.000092,400,5.00,false
1,B1-premium-static,W4-Analytical-Agent,analytics,agent,w4-09,gpt-4o,openai-us,true,47,1,0.000128,793,5.00,false
1,B1-premium-static,W4-Analytical-Agent,analytics,agent,w4-10,gpt-4o,openai-us,true,60,235,0.002500,1792,5.00,false
1,B2-round-robin,W1-HR-Chatbot,hr,hr,w1-01,gpt-4.1-nano,openai-us,true,40,56,0.000026,771,5.00,true
1,B2-round-robin,W1-HR-Chatbot,hr,hr,w1-02,gpt-4o,openai-us,true,41,55,0.000653,964,4.00,false
1,B2-round-robin,W1-HR-Chatbot,hr,hr,w1-03,gpt-4o-mini,openai-us,true,33,61,0.000042,2063,5.00,true
1,B2-round-robin,W1-HR-Chatbot,hr,hr,w1-04,mistral-large,mistral-eu,true,27,256,0.001590,2168,5.00,true
1,B2-round-robin,W1-HR-Chatbot,hr,hr,w1-05,selfhosted-eu-llama,onprem-fr,false,25,80,0.000005,700,3.96,true
1,B2-round-robin,W1-HR-Chatbot,hr,hr,w1-06,gpt-4.1-nano,openai-us,true,34,76,0.000034,797,5.00,true
1,B2-round-robin,W1-HR-Chatbot,hr,hr,w1-07,gpt-4o,openai-us,true,35,226,0.002347,1544,5.00,false
1,B2-round-robin,W1-HR-Chatbot,hr,hr,w1-08,gpt-4o-mini,openai-us,true,31,220,0.000137,2937,5.00,true
1,B2-round-robin,W1-HR-Chatbot,hr,hr,w1-09,mistral-large,mistral-eu,true,28,112,0.000728,1074,5.00,true
1,B2-round-robin,W1-HR-Chatbot,hr,hr,w1-10,selfhosted-eu-llama,onprem-fr,false,32,80,0.000006,700,3.96,true
1,B2-round-robin,W2-RAG-Docs,knowledge,rag,w2-01,gpt-4o-mini,openai-us,true,60,11,0.000016,572,5.00,true
1,B2-round-robin,W2-RAG-Docs,knowledge,rag,w2-02,mistral-large,mistral-eu,true,55,15,0.000200,520,5.00,true
1,B2-round-robin,W2-RAG-Docs,knowledge,rag,w2-03,gpt-4.1-nano,openai-us,true,49,8,0.000008,411,5.00,true
1,B2-round-robin,W2-RAG-Docs,knowledge,rag,w2-04,gpt-4o,openai-us,true,60,54,0.000690,770,5.00,false
1,B2-round-robin,W2-RAG-Docs,knowledge,rag,w2-05,gpt-4o-mini,openai-us,true,44,7,0.000011,609,5.00,true
1,B2-round-robin,W2-RAG-Docs,knowledge,rag,w2-06,mistral-large,mistral-eu,true,46,36,0.000308,654,5.00,true
1,B2-round-robin,W2-RAG-Docs,knowledge,rag,w2-07,gpt-4.1-nano,openai-us,true,48,9,0.000008,360,5.00,true
1,B2-round-robin,W2-RAG-Docs,knowledge,rag,w2-08,gpt-4o,openai-us,true,53,11,0.000242,483,5.00,false
1,B2-round-robin,W2-RAG-Docs,knowledge,rag,w2-09,gpt-4o-mini,openai-us,true,52,9,0.000013,893,5.00,true
1,B2-round-robin,W2-RAG-Docs,knowledge,rag,w2-10,mistral-large,mistral-eu,true,50,37,0.000322,587,5.00,true
1,B2-round-robin,W3-Dev-Assistant,platform,dev,w3-01,gpt-4.1-nano,openai-us,true,45,51,0.000025,492,5.00,true
1,B2-round-robin,W3-Dev-Assistant,platform,dev,w3-02,gpt-4o,openai-us,true,33,99,0.001073,937,5.00,false
1,B2-round-robin,W3-Dev-Assistant,platform,dev,w3-03,gpt-4o-mini,openai-us,true,48,256,0.000161,4145,5.00,true
1,B2-round-robin,W3-Dev-Assistant,platform,dev,w3-04,mistral-large,mistral-eu,true,29,228,0.001426,2826,5.00,true
1,B2-round-robin,W3-Dev-Assistant,platform,dev,w3-05,gpt-4.1-nano,openai-us,true,39,150,0.000064,1143,5.00,true
1,B2-round-robin,W3-Dev-Assistant,platform,dev,w3-06,gpt-4o,openai-us,true,31,72,0.000798,1200,5.00,false
1,B2-round-robin,W3-Dev-Assistant,platform,dev,w3-07,gpt-4o-mini,openai-us,true,51,219,0.000139,3928,5.00,true
1,B2-round-robin,W3-Dev-Assistant,platform,dev,w3-08,mistral-large,mistral-eu,true,35,109,0.000724,1435,5.00,true
1,B2-round-robin,W3-Dev-Assistant,platform,dev,w3-09,gpt-4.1-nano,openai-us,true,32,23,0.000012,435,5.00,true
1,B2-round-robin,W3-Dev-Assistant,platform,dev,w3-10,gpt-4o,openai-us,true,39,62,0.000718,753,5.00,false
1,B2-round-robin,W4-Analytical-Agent,analytics,agent,w4-01,gpt-4.1-nano,openai-us,true,53,3,0.000007,371,1.00,true
1,B2-round-robin,W4-Analytical-Agent,analytics,agent,w4-02,gpt-4o,openai-us,true,48,12,0.000240,487,3.00,false
1,B2-round-robin,W4-Analytical-Agent,analytics,agent,w4-03,gpt-4o-mini,openai-us,true,43,1,0.000007,391,5.00,true
1,B2-round-robin,W4-Analytical-Agent,analytics,agent,w4-04,mistral-large,mistral-eu,true,47,175,0.001144,1102,5.00,true
1,B2-round-robin,W4-Analytical-Agent,analytics,agent,w4-05,selfhosted-eu-llama,onprem-fr,false,26,80,0.000005,700,3.96,true
1,B2-round-robin,W4-Analytical-Agent,analytics,agent,w4-06,gpt-4.1-nano,openai-us,true,79,256,0.000110,1373,5.00,true
1,B2-round-robin,W4-Analytical-Agent,analytics,agent,w4-07,gpt-4o,openai-us,true,47,6,0.000178,469,5.00,false
1,B2-round-robin,W4-Analytical-Agent,analytics,agent,w4-08,gpt-4o-mini,openai-us,true,29,2,0.000006,570,5.00,true
1,B2-round-robin,W4-Analytical-Agent,analytics,agent,w4-09,mistral-large,mistral-eu,true,47,2,0.000106,268,5.00,true
1,B2-round-robin,W4-Analytical-Agent,analytics,agent,w4-10,selfhosted-eu-llama,onprem-fr,false,33,80,0.000006,700,3.96,true
1,B3-least-cost,W1-HR-Chatbot,hr,hr,w1-01,selfhosted-eu-llama,onprem-fr,false,35,80,0.000006,700,3.96,true
1,B3-least-cost,W1-HR-Chatbot,hr,hr,w1-02,selfhosted-eu-llama,onprem-fr,false,35,80,0.000006,700,3.96,true
1,B3-least-cost,W1-HR-Chatbot,hr,hr,w1-03,selfhosted-eu-llama,onprem-fr,false,25,80,0.000005,700,3.96,true
1,B3-least-cost,W1-HR-Chatbot,hr,hr,w1-04,selfhosted-eu-llama,onprem-fr,false,27,80,0.000005,700,3.96,true
1,B3-least-cost,W1-HR-Chatbot,hr,hr,w1-05,selfhosted-eu-llama,onprem-fr,false,25,80,0.000005,700,3.96,true
1,B3-least-cost,W1-HR-Chatbot,hr,hr,w1-06,selfhosted-eu-llama,onprem-fr,false,30,80,0.000006,700,3.96,true
1,B3-least-cost,W1-HR-Chatbot,hr,hr,w1-07,selfhosted-eu-llama,onprem-fr,false,27,80,0.000005,700,3.96,true
1,B3-least-cost,W1-HR-Chatbot,hr,hr,w1-08,selfhosted-eu-llama,onprem-fr,false,23,80,0.000005,700,3.96,true
1,B3-least-cost,W1-HR-Chatbot,hr,hr,w1-09,selfhosted-eu-llama,onprem-fr,false,31,80,0.000006,700,3.96,true
1,B3-least-cost,W1-HR-Chatbot,hr,hr,w1-10,selfhosted-eu-llama,onprem-fr,false,32,80,0.000006,700,3.96,true
1,B3-least-cost,W2-RAG-Docs,knowledge,rag,w2-01,gpt-4.1-nano,openai-us,true,60,12,0.000011,556,5.00,true
1,B3-least-cost,W2-RAG-Docs,knowledge,rag,w2-02,gpt-4.1-nano,openai-us,true,57,17,0.000013,475,5.00,true
1,B3-least-cost,W2-RAG-Docs,knowledge,rag,w2-03,gpt-4.1-nano,openai-us,true,49,8,0.000008,382,5.00,true
1,B3-least-cost,W2-RAG-Docs,knowledge,rag,w2-04,gpt-4.1-nano,openai-us,true,60,47,0.000025,679,5.00,true
1,B3-least-cost,W2-RAG-Docs,knowledge,rag,w2-05,gpt-4.1-nano,openai-us,true,44,7,0.000007,867,5.00,true
1,B3-least-cost,W2-RAG-Docs,knowledge,rag,w2-06,gpt-4.1-nano,openai-us,true,48,14,0.000010,598,5.00,true
1,B3-least-cost,W2-RAG-Docs,knowledge,rag,w2-07,gpt-4.1-nano,openai-us,true,48,9,0.000008,320,5.00,true
1,B3-least-cost,W2-RAG-Docs,knowledge,rag,w2-08,gpt-4.1-nano,openai-us,true,53,11,0.000010,365,5.00,true
1,B3-least-cost,W2-RAG-Docs,knowledge,rag,w2-09,gpt-4.1-nano,openai-us,true,52,9,0.000009,402,5.00,true
1,B3-least-cost,W2-RAG-Docs,knowledge,rag,w2-10,gpt-4.1-nano,openai-us,true,52,29,0.000017,414,5.00,true
1,B3-least-cost,W3-Dev-Assistant,platform,dev,w3-01,gpt-4.1-nano,openai-us,true,45,51,0.000025,515,5.00,true
1,B3-least-cost,W3-Dev-Assistant,platform,dev,w3-02,gpt-4.1-nano,openai-us,true,33,100,0.000043,984,5.00,true
1,B3-least-cost,W3-Dev-Assistant,platform,dev,w3-03,gpt-4.1-nano,openai-us,true,48,256,0.000107,1410,5.00,true
1,B3-least-cost,W3-Dev-Assistant,platform,dev,w3-04,gpt-4.1-nano,openai-us,true,35,29,0.000015,448,5.00,true
1,B3-least-cost,W3-Dev-Assistant,platform,dev,w3-05,gpt-4.1-nano,openai-us,true,39,191,0.000080,1728,5.00,true
1,B3-least-cost,W3-Dev-Assistant,platform,dev,w3-06,gpt-4.1-nano,openai-us,true,31,54,0.000025,1248,5.00,true
1,B3-least-cost,W3-Dev-Assistant,platform,dev,w3-07,gpt-4.1-nano,openai-us,true,51,213,0.000090,1400,5.00,true
1,B3-least-cost,W3-Dev-Assistant,platform,dev,w3-08,gpt-4.1-nano,openai-us,true,40,108,0.000047,1217,5.00,true
1,B3-least-cost,W3-Dev-Assistant,platform,dev,w3-09,gpt-4.1-nano,openai-us,true,32,23,0.000012,394,5.00,true
1,B3-least-cost,W3-Dev-Assistant,platform,dev,w3-10,gpt-4.1-nano,openai-us,true,39,60,0.000028,801,5.00,true
1,B3-least-cost,W4-Analytical-Agent,analytics,agent,w4-01,selfhosted-eu-llama,onprem-fr,false,39,80,0.000006,700,3.96,true
1,B3-least-cost,W4-Analytical-Agent,analytics,agent,w4-02,selfhosted-eu-llama,onprem-fr,false,33,80,0.000006,700,3.96,true
1,B3-least-cost,W4-Analytical-Agent,analytics,agent,w4-03,selfhosted-eu-llama,onprem-fr,false,33,80,0.000006,700,3.96,true
1,B3-least-cost,W4-Analytical-Agent,analytics,agent,w4-04,selfhosted-eu-llama,onprem-fr,false,30,80,0.000006,700,3.96,true
1,B3-least-cost,W4-Analytical-Agent,analytics,agent,w4-05,selfhosted-eu-llama,onprem-fr,false,26,80,0.000005,700,3.96,true
1,B3-least-cost,W4-Analytical-Agent,analytics,agent,w4-06,selfhosted-eu-llama,onprem-fr,false,43,80,0.000006,700,3.96,true
1,B3-least-cost,W4-Analytical-Agent,analytics,agent,w4-07,selfhosted-eu-llama,onprem-fr,false,30,80,0.000006,700,3.96,true
1,B3-least-cost,W4-Analytical-Agent,analytics,agent,w4-08,selfhosted-eu-llama,onprem-fr,false,15,80,0.000005,700,3.96,true
1,B3-least-cost,W4-Analytical-Agent,analytics,agent,w4-09,selfhosted-eu-llama,onprem-fr,false,29,80,0.000005,700,3.96,true
1,B3-least-cost,W4-Analytical-Agent,analytics,agent,w4-10,selfhosted-eu-llama,onprem-fr,false,33,80,0.000006,700,3.96,true
1,B4-static-policy,W1-HR-Chatbot,hr,hr,w1-01,gpt-4.1-nano,openai-us,true,40,30,0.000016,642,5.00,true
1,B4-static-policy,W1-HR-Chatbot,hr,hr,w1-02,gpt-4.1-nano,openai-us,true,41,31,0.000017,649,5.00,true
1,B4-static-policy,W1-HR-Chatbot,hr,hr,w1-03,gpt-4.1-nano,openai-us,true,33,66,0.000030,745,5.00,true
1,B4-static-policy,W1-HR-Chatbot,hr,hr,w1-04,gpt-4.1-nano,openai-us,true,32,187,0.000078,991,5.00,true
1,B4-static-policy,W1-HR-Chatbot,hr,hr,w1-05,gpt-4.1-nano,openai-us,true,29,59,0.000027,574,5.00,true
1,B4-static-policy,W1-HR-Chatbot,hr,hr,w1-06,gpt-4.1-nano,openai-us,true,34,73,0.000033,699,5.00,true
1,B4-static-policy,W1-HR-Chatbot,hr,hr,w1-07,gpt-4.1-nano,openai-us,true,35,155,0.000066,946,5.00,true
1,B4-static-policy,W1-HR-Chatbot,hr,hr,w1-08,gpt-4.1-nano,openai-us,true,31,103,0.000044,832,5.00,true
1,B4-static-policy,W1-HR-Chatbot,hr,hr,w1-09,gpt-4.1-nano,openai-us,true,34,41,0.000020,612,5.00,true
1,B4-static-policy,W1-HR-Chatbot,hr,hr,w1-10,gpt-4.1-nano,openai-us,true,37,46,0.000022,781,4.00,true
1,B4-static-policy,W2-RAG-Docs,knowledge,rag,w2-01,gpt-4o-mini,openai-us,true,60,11,0.000016,794,5.00,true
1,B4-static-policy,W2-RAG-Docs,knowledge,rag,w2-02,gpt-4o-mini,openai-us,true,57,13,0.000016,638,5.00,true
1,B4-static-policy,W2-RAG-Docs,knowledge,rag,w2-03,gpt-4o-mini,openai-us,true,49,9,0.000013,927,5.00,true
1,B4-static-policy,W2-RAG-Docs,knowledge,rag,w2-04,gpt-4o-mini,openai-us,true,60,42,0.000034,858,5.00,true
1,B4-static-policy,W2-RAG-Docs,knowledge,rag,w2-05,gpt-4o-mini,openai-us,true,44,7,0.000011,572,5.00,true
1,B4-static-policy,W2-RAG-Docs,knowledge,rag,w2-06,gpt-4o-mini,openai-us,true,48,20,0.000019,814,5.00,true
1,B4-static-policy,W2-RAG-Docs,knowledge,rag,w2-07,gpt-4o-mini,openai-us,true,48,9,0.000013,638,5.00,true
1,B4-static-policy,W2-RAG-Docs,knowledge,rag,w2-08,gpt-4o-mini,openai-us,true,53,11,0.000015,566,5.00,true
1,B4-static-policy,W2-RAG-Docs,knowledge,rag,w2-09,gpt-4o-mini,openai-us,true,52,9,0.000013,568,5.00,true
1,B4-static-policy,W2-RAG-Docs,knowledge,rag,w2-10,gpt-4o-mini,openai-us,true,52,31,0.000026,854,5.00,true
1,B4-static-policy,W3-Dev-Assistant,platform,dev,w3-01,gpt-4o,openai-us,true,45,51,0.000623,734,5.00,false
1,B4-static-policy,W3-Dev-Assistant,platform,dev,w3-02,gpt-4o,openai-us,true,33,110,0.001182,1016,5.00,false
1,B4-static-policy,W3-Dev-Assistant,platform,dev,w3-03,gpt-4o,openai-us,true,48,212,0.002240,1895,5.00,false
1,B4-static-policy,W3-Dev-Assistant,platform,dev,w3-04,gpt-4o,openai-us,true,35,50,0.000588,853,5.00,false
1,B4-static-policy,W3-Dev-Assistant,platform,dev,w3-05,gpt-4o,openai-us,true,39,229,0.002387,1500,5.00,false
1,B4-static-policy,W3-Dev-Assistant,platform,dev,w3-06,gpt-4o,openai-us,true,31,74,0.000817,826,5.00,false
1,B4-static-policy,W3-Dev-Assistant,platform,dev,w3-07,gpt-4o,openai-us,true,51,224,0.002367,1414,5.00,false
1,B4-static-policy,W3-Dev-Assistant,platform,dev,w3-08,gpt-4o,openai-us,true,40,133,0.001430,1367,5.00,false
1,B4-static-policy,W3-Dev-Assistant,platform,dev,w3-09,gpt-4o,openai-us,true,32,33,0.000410,562,5.00,false
1,B4-static-policy,W3-Dev-Assistant,platform,dev,w3-10,gpt-4o,openai-us,true,39,63,0.000728,897,5.00,false
1,B4-static-policy,W4-Analytical-Agent,analytics,agent,w4-01,gpt-4o,openai-us,true,53,3,0.000162,471,1.00,false
1,B4-static-policy,W4-Analytical-Agent,analytics,agent,w4-02,gpt-4o,openai-us,true,48,12,0.000240,443,4.00,false
1,B4-static-policy,W4-Analytical-Agent,analytics,agent,w4-03,gpt-4o,openai-us,true,43,1,0.000118,397,5.00,false
1,B4-static-policy,W4-Analytical-Agent,analytics,agent,w4-04,gpt-4o,openai-us,true,45,96,0.001073,743,5.00,false
1,B4-static-policy,W4-Analytical-Agent,analytics,agent,w4-05,gpt-4o,openai-us,true,55,12,0.000258,452,5.00,false
1,B4-static-policy,W4-Analytical-Agent,analytics,agent,w4-06,gpt-4o,openai-us,true,79,243,0.002627,1383,5.00,false
1,B4-static-policy,W4-Analytical-Agent,analytics,agent,w4-07,gpt-4o,openai-us,true,47,6,0.000178,405,5.00,false
1,B4-static-policy,W4-Analytical-Agent,analytics,agent,w4-08,gpt-4o,openai-us,true,29,2,0.000092,413,5.00,false
1,B4-static-policy,W4-Analytical-Agent,analytics,agent,w4-09,gpt-4o,openai-us,true,47,1,0.000128,464,5.00,false
1,B4-static-policy,W4-Analytical-Agent,analytics,agent,w4-10,gpt-4o,openai-us,true,60,256,0.002710,1722,4.00,false
1,B5-budget-hard-block,W1-HR-Chatbot,hr,hr,w1-01,gpt-4o,openai-us,true,40,58,0.000680,877,5.00,false
1,B5-budget-hard-block,W1-HR-Chatbot,hr,hr,w1-02,gpt-4o,openai-us,true,41,43,0.000532,839,3.00,false
1,B5-budget-hard-block,W1-HR-Chatbot,hr,hr,w1-03,gpt-4o,openai-us,true,33,56,0.000642,906,5.00,false
1,B5-budget-hard-block,W1-HR-Chatbot,hr,hr,w1-04,gpt-4o,openai-us,true,32,237,0.002450,2108,5.00,false
1,B5-budget-hard-block,W1-HR-Chatbot,hr,hr,w1-05,gpt-4o,openai-us,true,29,235,0.002423,1572,5.00,false
1,B5-budget-hard-block,W1-HR-Chatbot,hr,hr,w1-06,gpt-4o,openai-us,true,34,109,0.001175,1297,5.00,false
1,B5-budget-hard-block,W1-HR-Chatbot,hr,hr,w1-07,gpt-4o,openai-us,true,35,256,0.002647,1744,5.00,false
1,B5-budget-hard-block,W1-HR-Chatbot,hr,hr,w1-08,gpt-4o,openai-us,true,31,236,0.002437,2089,5.00,false
1,B5-budget-hard-block,W1-HR-Chatbot,hr,hr,w1-09,gpt-4o,openai-us,true,34,134,0.001425,1416,5.00,false
1,B5-budget-hard-block,W1-HR-Chatbot,hr,hr,w1-10,gpt-4o,openai-us,true,37,83,0.000923,1032,3.00,false
1,B5-budget-hard-block,W2-RAG-Docs,knowledge,rag,w2-01,gpt-4o,openai-us,true,60,11,0.000260,410,5.00,false
1,B5-budget-hard-block,W2-RAG-Docs,knowledge,rag,w2-02,gpt-4o,openai-us,true,57,13,0.000272,588,5.00,false
1,B5-budget-hard-block,W2-RAG-Docs,knowledge,rag,w2-03,gpt-4o,openai-us,true,49,9,0.000213,486,5.00,false
1,B5-budget-hard-block,W2-RAG-Docs,knowledge,rag,w2-04,gpt-4o,openai-us,true,60,55,0.000700,866,5.00,false
1,B5-budget-hard-block,W2-RAG-Docs,knowledge,rag,w2-05,gpt-4o,openai-us,true,44,7,0.000180,500,5.00,false
1,B5-budget-hard-block,W2-RAG-Docs,knowledge,rag,w2-06,gpt-4o,openai-us,true,48,14,0.000260,561,5.00,false
1,B5-budget-hard-block,W2-RAG-Docs,knowledge,rag,w2-07,gpt-4o,openai-us,true,48,9,0.000210,457,5.00,false
1,B5-budget-hard-block,W2-RAG-Docs,knowledge,rag,w2-08,gpt-4o,openai-us,true,53,11,0.000242,490,5.00,false
1,B5-budget-hard-block,W2-RAG-Docs,knowledge,rag,w2-09,gpt-4o,openai-us,true,52,9,0.000220,488,5.00,false
1,B5-budget-hard-block,W2-RAG-Docs,knowledge,rag,w2-10,gpt-4o,openai-us,true,52,31,0.000440,841,5.00,false
1,B5-budget-hard-block,W3-Dev-Assistant,platform,dev,w3-01,gpt-4o,openai-us,true,45,51,0.000623,722,5.00,false
1,B5-budget-hard-block,W3-Dev-Assistant,platform,dev,w3-02,gpt-4o,openai-us,true,33,106,0.001142,980,5.00,false
1,B5-budget-hard-block,W3-Dev-Assistant,platform,dev,w3-03,gpt-4o,openai-us,true,48,205,0.002170,1688,5.00,false
1,B5-budget-hard-block,W3-Dev-Assistant,platform,dev,w3-04,gpt-4o,openai-us,true,35,38,0.000468,650,5.00,false
1,B5-budget-hard-block,W3-Dev-Assistant,platform,dev,w3-05,gpt-4o,openai-us,true,39,221,0.002308,1458,5.00,false
1,B5-budget-hard-block,W3-Dev-Assistant,platform,dev,w3-06,gpt-4o,openai-us,true,31,67,0.000748,928,5.00,false
1,B5-budget-hard-block,W3-Dev-Assistant,platform,dev,w3-07,gpt-4o,openai-us,true,51,213,0.002257,1238,5.00,false
1,B5-budget-hard-block,W3-Dev-Assistant,platform,dev,w3-08,gpt-4o,openai-us,true,40,126,0.001360,1240,5.00,false
1,B5-budget-hard-block,W3-Dev-Assistant,platform,dev,w3-09,gpt-4o,openai-us,true,32,32,0.000400,550,5.00,false
1,B5-budget-hard-block,W3-Dev-Assistant,platform,dev,w3-10,gpt-4o,openai-us,true,39,57,0.000668,902,5.00,false
1,B5-budget-hard-block,W4-Analytical-Agent,analytics,agent,w4-01,gpt-4o,openai-us,true,53,3,0.000162,485,1.00,false
1,B5-budget-hard-block,W4-Analytical-Agent,analytics,agent,w4-02,gpt-4o,openai-us,true,48,12,0.000240,520,3.00,false
1,B5-budget-hard-block,W4-Analytical-Agent,analytics,agent,w4-03,gpt-4o,openai-us,true,43,1,0.000118,393,5.00,false
1,B5-budget-hard-block,W4-Analytical-Agent,analytics,agent,w4-04,gpt-4o,openai-us,true,45,126,0.001373,963,5.00,false
1,B5-budget-hard-block,W4-Analytical-Agent,analytics,agent,w4-05,gpt-4o,openai-us,true,55,14,0.000277,485,5.00,false
1,B5-budget-hard-block,W4-Analytical-Agent,analytics,agent,w4-06,gpt-4o,openai-us,true,79,256,0.002757,1511,4.00,false
1,B5-budget-hard-block,W4-Analytical-Agent,analytics,agent,w4-07,gpt-4o,openai-us,true,47,6,0.000178,435,5.00,false
1,B5-budget-hard-block,W4-Analytical-Agent,analytics,agent,w4-08,gpt-4o,openai-us,true,29,2,0.000092,390,5.00,false
1,B5-budget-hard-block,W4-Analytical-Agent,analytics,agent,w4-09,gpt-4o,openai-us,true,47,1,0.000128,450,5.00,false
1,B5-budget-hard-block,W4-Analytical-Agent,analytics,agent,w4-10,gpt-4o,openai-us,true,60,247,0.002620,1826,4.00,false
1,B6-ours,W1-HR-Chatbot,hr,hr,w1-01,gpt-4o-mini,openai-us,true,40,32,0.000025,745,5.00,true
1,B6-ours,W1-HR-Chatbot,hr,hr,w1-02,gpt-4o-mini,openai-us,true,41,18,0.000017,640,5.00,true
1,B6-ours,W1-HR-Chatbot,hr,hr,w1-03,gpt-4o-mini,openai-us,true,33,65,0.000044,1658,5.00,true
1,B6-ours,W1-HR-Chatbot,hr,hr,w1-04,gpt-4o-mini,openai-us,true,32,197,0.000123,2701,5.00,true
1,B6-ours,W1-HR-Chatbot,hr,hr,w1-05,gpt-4o-mini,openai-us,true,29,95,0.000061,1601,5.00,true
1,B6-ours,W1-HR-Chatbot,hr,hr,w1-06,gpt-4o-mini,openai-us,true,34,101,0.000066,1932,5.00,true
